,,,,,,,
Verkoopadviesprijzen per 01-01-2026,,,,,,,
,,,,,,,
Artikel,Omschrijving,EAN code,VE,Eenheid, VK/St € ,,
DRY FLEX®,,,,,,,
2023005,DRY FLEX® 1,87.14748.00474.0,20,st,€ 74.58,,
2023205,DRY FLEX® 1  2-in-1,87.14748.00491.7,10,st,€ 45.09,,
2022005,DRY FLEX® 4,87.14748.00475.7,20,st,€ 64.53,,
2022205,DRY FLEX® 4  2-in-1,87.14748.00492.4,10,st,€ 34.93,,
2021005,DRY FLEX® 16,87.14748.00476.4,20,st,€ 57.13,,
2027005,DRY FLEX® SF,87.14748.00487.0,20,st,€ 70.33,,
2027205,DRY FLEX® SF 2-in-1,87.14748.00494.8,10,st,€ 41.70,,
2025005,BIO FLEX™ ALLROUND,87.14748.00470.2,20,st,€ 59.64,,
2024005,BIO FLEX™ COOL,87.14748.00445.0,20,st,€ 63.79,,
2026205,DRY FLEX® IN ,87.14748.00493.1,10,st,€ 29.30,,
UNIVERSELE KLEURPIGMENTEN,,,,,,,
2040005,Universele Kleurpigmenten,87.14748.00511.2,4,set,€ 22.99,,
DRY FIX®,,,,,,,
2010005,DRY FIX® UNI,87.14748.00436.8,10,st,€ 76.56,,
2010105,DRY FIX® UNI klein,87.14748.00464.1,10,st,€ 36.30,,
DRY SHIELD™,,,,,,,
2031001,DRY SHIELD™ SK,87.14748.00320.0,10,st,€ 47.35,,
Beglazing,,,,,,,
2511105,DRY SEAL™ MP Wit,87.14748.00380.4,24,st,€ 19.36,,
2511162,DRY SEAL™ MP Bruin (RAL 8007),87.14748.00376.7,24,st,€ 19.36,,
EASY•Q™ Doseerpistolen,,,,,,,
4511201,EASY•Q™ High Performance doseerpistool,87.14748.00455.9,4,st,€ 59.11,,
4511003,EASY•Q™ Enkelvoudig doseerpistool,87.14748.00347.7,4,st,€ 39.38,,
EASY•Q™ Applicatie toebehoren,,,,,,,
4513031,EASY•Q™ RVS modelleermes 3 cm,87.14748.00331.6,10,st,€ 11.96,,
4513032,EASY•Q™ RVS modelleermes 5 cm,87.14748.00332.3,10,st,€ 13.71,,
4513033,EASY•Q™ RVS modelleermes 10 cm,87.14748.00333.0,10,st,€ 15.24,,
4513034,EASY•Q™ RVS modelleermes 15 cm,87.14748.00334.7,10,st,€ 18.28,,
4513035,EASY•Q™ RVS modelleermessenset ,87.14748.00340.8,5,st,€ 53.80,,
4513601,EASY•Q™ Kunststof modelleermes 4 cm,87.14748.00335.4,20,st,€ 2.63,,
4513602,EASY•Q™ Kunststof modelleermes 8 cm ,87.14748.00336.1,20,st,€ 2.98,,
4513603,EASY•Q™ Kunststof modelleermes 8 cm stijf,87.14748.00337.8,20,st,€ 3.14,,
4513604,EASY•Q™ Kunststof modelleermes 13 cm,87.14748.00338.5,20,st,€ 3.98,,
4513001,EASY•Q™ Kitmes,87.14748.00412.2,10,st,€ 17.70,,
4513002,EASY•Q™ Aanbrandmes,87.14748.00413.9,10,st,€ 13.19,,
4512020,EASY•Q™ Mengplateau groot,87.14748.00293.7,10,st,€ 14.60,,
4512015,EASY•Q™ Mengplateau medium,87.14748.00472.6,5,st,€ 12.50,,
4515011,EASY•Q™ MIX & FIX mengbeker: set a 50 stuks,87.14748.00308.8,1,set,€ 10.58,,
4515051,EASY•Q™ MIX & FIX spatel: set a 50 stuks,87.14748.00309.5,1,set,€ 7.24,,
4517000,EASY•Q™ Modelleerstrips: set a 5 stuks,87.14748.00192.3,1,set,€ 11.23,,
4526000,EASY•Q™ Afstrijkrubber,87.14748.00193.0,10,st,€ 11.66,,
4542012,EASY•Q™ Brick Tape,87.14748.00451.1,10,st,€ 11.13,,
EASY•Q™ Veilig en schoon werken,,,,,,,
4530018,EASY•Q™ Nitrile wegwerphandschoenen L,87.14748.00325.5,10,st,€ 23.27,,
4530019,EASY•Q™ Nitrile wegwerphandschoenen XL,87.14748.00326.2,10,st,€ 23.27,,
4530043,EASY•Q™ WIPES ,87.14748.00495.5,5,st,€ 20.23,,
EASY•Q™ Glasvlies,,,,,,,
4540050,EASY•Q™ Glasvlies 5 cm,87.14748.00218.0,1,st,€ 13.58,,
4540100,EASY•Q™ Glasvlies 10 cm,87.14748.00219.7,1,st,€ 27.14,,
4540150,EASY•Q™ Glasvlies 15 cm,87.14748.00231.9,1,st,€ 40.73,,
4540200,EASY•Q™ Glasvlies 20 cm,87.14748.00220.3,1,st,€ 54.32,,
4541000,EASY•Q™ Glasvlies 100 cm,87.14748.00221.0,1,st,€ 271.59,,
EASY•Q™ Overige,,,,,,,
4560000,EASY•Q™ Houtconditiemeter CS1,87.14748.00210.4,1,st,€ 69.69,,
4550060,EASY•Q™ Pennenlichter,87.14748.00209.8,1,st,€ 29.82,,
7000213,EASY•Q™ BOX 5,87.14748.00382.8,1,st,€ 97.73,,
"Boren, Frezen en Zagen",,,,,,,
4012100,Schuurschijf K36,87.14748.00155.8,25,st,€ 2.25,,
4012200,Schuurschijf K60,87.14748.00156.5,25,st,€ 2.06,,
4012300,Schuurschijf K120,87.14748.00157.2,25,st,€ 2.21,,
4013100,Scotch Brite grof (bruin),87.14748.00158.9,25,st,€ 2.52,,
4013200,Scotch Brite middel (rood),87.14748.00159.6,25,st,€ 2.52,,
4040000,HM Stiftfrees 4 mm,87.14748.00163.3,1,st,€ 37.80,,
4050000,"HM bolkopfrees 9,5 mm",87.14748.00164.0,1,st,€ 43.89,,
4050010,"EASY•Q™ Bolkopfrees 9,5 mm - 10 stuks",87.14748.00165.7,1,set,€ 163.00,,
4070000,Proppenboor,87.14748.00171.8,1,st,€ 91.91,,
Opleidingen op locatie dealer,,,,,,,
9001411,Niveau 1 opleiding: op locatie dealer,"doorberekenen aan deelnemer € 199,00",1,st,"€ 1,039.00",,
9001421,Niveau 2 opleiding: op locatie dealer,"doorberekenen aan deelnemer € 239,00",1,st,"€ 1,319.00",,
9001431,Niveau 3 opleiding: op locatie dealer,"doorberekenen aan deelnemer € 209,00",1,st,"€ 1,119.00",,
Startpakketten,,,,,,,
4571030,Startpakket  ,87.14748.00486.3,4,st,€ 405.00,,
4571015,Startpakket 2-in-1,87.14748.00441.2,4,st,€ 305.00,,
4571016,Startpakket compleet,87.14748.00442.9,4,st,€ 380.00,,
Condities,,,,,,,
Prijzen,"In euro's excl. BTW, per stuk resp. per set",,,,,,
Geldigheid,"voor leveringen tussen 01-01-2026 en 31-12-2026, tot nader order
",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
